u11,u21,u12,u22,theta(2),alpha(2),beta(2)
6,5,2,1,"(-2.49809,0)","(1.24905,1.84444)","(-1.3734,1.62905)"
6,5,1.5,5.5,"(-2.65164,0)","(1.32582,1.82207)","(-0.737815,2.00593)"
6,5,1.5,5,"(-2.65164,0)","(1.32582,1.82207)","(-0.785398,1.95601)"
6,5,1.5,4.5,"(-2.65164,0)","(1.32582,1.82207)","(-0.837981,1.9061)"
6,5,1.5,3.5,"(-2.65164,0)","(1.32582,1.82207)","(-0.96007,1.80883)"
6,5,1.5,3,"(-2.65164,0)","(1.32582,1.82207)","(-1.03038,1.76318)"
6,5,1.5,2.5,"(-2.65164,0)","(1.32582,1.82207)","(-1.10715,1.72101)"
6,5,1.5,1.5,"(-2.65164,0)","(1.32582,1.82207)","(-1.27934,1.65253)"
6,5,1.5,1,"(-2.65164,0)","(1.32582,1.82207)","(-1.3734,1.62905)"
6,5,1.5,0.5,"(-2.65164,0)","(1.32582,1.82207)","(-1.47113,1.61441)"
6,5,1.5,0,"(-2.65164,0)","(1.32582,1.82207)","(-1.5708,1.60944)"
6,5,1,6,"(-2.8113,0)","(1.40565,1.80546)","(-0.694738,2.05544)"
6,5,1,5.5,"(-2.8113,0)","(1.40565,1.80546)","(-0.737815,2.00593)"
6,5,1,5,"(-2.8113,0)","(1.40565,1.80546)","(-0.785398,1.95601)"
6,5,1,4.5,"(-2.8113,0)","(1.40565,1.80546)","(-0.837981,1.9061)"
6,5,1,4,"(-2.8113,0)","(1.40565,1.80546)","(-0.896055,1.85679)"
6,5,1,3,"(-2.8113,0)","(1.40565,1.80546)","(-1.03038,1.76318)"
6,5,1,2,"(-2.8113,0)","(1.40565,1.80546)","(-1.19029,1.68365)"
6,5,1,1.5,"(-2.8113,0)","(1.40565,1.80546)","(-1.27934,1.65253)"
6,5,1,0.5,"(-2.8113,0)","(1.40565,1.80546)","(-1.47113,1.61441)"
6,5,1,0,"(-2.8113,0)","(1.40565,1.80546)","(-1.5708,1.60944)"
